nickname,add1,add2,add3,city,tel,area,tinno,mobile
AJIT MOTOR STORES -  DHRANGADHRA, ,"SHAKTI ROAD,", ,Dhrangadhra   363 310 ,281939      ,DHRANGADHRA, ,9426934002
AJMERA ENTERPRISE - MIRZAPUR,"B/H K.B.COMMERCIAL CENTRE,","MIRZAPUR,", ,Ahmedabad 380 001 ,25500538      ,MIRZAPUR, , 9879330370
AKAL AUTOMOBILES -  AHMEDABAD, ,"NAROL MOTOR MARKET,",NAROL,Ahmedabad  382 405 ,25731173      ,NAROL, , 
AKAR MOTORS - RAJKOT,"216, GAUTAM COMM. CENTRE,","NEAR BOMBAY HOTEL,","GONDAL ROAD,",Rajkot   360 001,0281-6543234 6643234  ,rajkot,,98925356811
AKASH AUTOMOBILES - MAHUVA,"G-25, MANGALMURTI COMPLEX,","NR. CITIZEN GAUST HOUSE,",MAHUVA,Mahuva 364 290,9228145677   ,MAHUVA,,9228145677
AKASH AUTOMOBILES - MEHSANA,"16, BALAJI COMPLEX,","NEAR RAMOSNA CIRCLE,","HIGHWAY ROAD,",Mehsana   ,9925075200   ,Mehsana,,9925075200
AKASH MOTORS -  NARANPURA," OPP. INDIAN OIL PETROL PUMP,", NEAR VALINATH CHOWK,"132 Ft.RING ROAD, MEMNAGAR,",Ahmedabad  380 052,29097476      ,NARANPURA,24075000044 ,"9408270009,9227205454"
AKSHAR  ENGINEERING WORKS - CHHATRAL,"PLOT NO.240/2,","G.I.D.C.,",KALOL - MEHSANA HIGHWAY,Chhatral   ,02794-233529 9825380986  ,CHHATRAL,24060101698,9825380986
AKSHAR AUTO PARTS - JAMBUSAR,"15, NAGARPALIKA SHOPPING,","TANKARI BHAGOL,",,Jambusar   392 150,"221651 R-223351,220151  ",JAMBUSAR, ,
AKSHAR AUTO SERVICE -  BHARUCH,"1/2, SHREEJI SHOPING CENTER,","NEAR HOTEL NARMADA,","N.H.NO.8,", Bharuch   392 001 ,       ,bharuch, , 
AKSHAR AUTOMOBILES -  BHARUCH,"SHRIJI COMM. COMPLEX,","OPP YOGI PETROL PUMP,","N.H.NO.8,",BHARUCH    ,       ,bharuch, , 
Akshar Automobiles - Viramgam,"Shop No. 4,","AksharNagar Shopping Centre, ","Mandal Road, Dumanvala",VIRAMGAM   ,02715-246625   ,Viramgam1,NO TIN,9824114388/9427322406
AKSHAR ENGINEERING WORKS - CHHATRAL,"PLOT NO.2401/2,","G.I.D.C. KALOL,",MEHSANA HIGHWAY,Chhatral   ,02764-233529   ,CHHATRAL, ,9824508277(BHARATBHAI)
AKSHAR MOTORS - BOTAD,"SHOP NO - 3,","P NALA ROAD,","BEHIND TELEPHONE EXCHANGE, BOTAD",BOTAD ,   ,BOTAD,NO TIN,
AKSHAR MOTORS - MOTA CHILODA,PLOT NO.351/A,"N. H. NO.8,  PALAJ PATIYA,","AT. PRATIYA,",Chiloda   ,9825380986   ,CHILODA,24060303529,9825380986
AKSHAY AUTOMOBILES -  AHMEDABAD,"1,VRAJESHWAVRI SHOPING CENTRE-2,","NEAR RANJAN HIGHSCHOOL, N.H.NO.8,","KHODIARNAGAR, BAPUNAGAR,",Ahmedabad  380 024 ,2744655      ,AHMEDABAD, , 
ALFA MOTOR REPAIRING & SERVICE - SURENDRANAGAR,"MISTRY MOTOR GARAGE GALI,","S. V. P. ROAD,",SURENDERANAGAR,Surendranagar   363 001,R-220098   ,SURENDRANAGAR, ,9426471999
ALI AUTOMOBILES - ANKLESHWAR,"OPP. F.M. AMIN PETROL PUMP,","RAJPIPLA CHOKDI,","NEAR N.H. NO.8,",Ankleshwar   393 002,234878 9227128739  ,Ankleshwar,24210900905,9227128739
ALLIED AGENCY - SABARMATI,OPP. O.N.G.C. GATE NO.2,"MODHERA STADIUM ROAD,","SABARMATI,",Ahmedabad 380 005,27500314   ,SABARMATI,,"9825651707,7383546005"
ALNUR AUTO CENTRE -  BALASINOR,"ALNUR SOCIETY,","AHMEDABAD ROAD,", ,Nadiad 388 255 ,(R)-02690-63102      ,BALASINOR, , 
AMAN AUTO PARTS - MEHSANA,"OPP. COLLEGE,","NAGALPUR HIGHWAY,","NAGALPUR,",Mehsana    ,O: 55194   R:50 446    ,Mehsana, , 
AMAN AUTOMOBILES -  GODHRA,"PATEL COMPOUND,", , ,Godhra   389 001 ,       ,GODHRA,NO TIN , 
AMAN AUTOMOBILES - KANODAR,"NEAR HOTEL AMAN,","HIGHWAY,",,Kanodar   385 520,PP-241032   ,KANODAR, ,9426389954
AMAN MOTOR REPOWERING SERVICE - KALOL,"VIPUL COMPLEX,"," NEAR SINDHBAJ HOTEL,","HIGHWAY,",Kalol 382 721,9898350595   ,KALOL,NO TIN,9898350595
AMAN MOTORS - KALOL,"SHOP NO.21, FIRST FLOOR,","UMIYA RESIDENCY,","OPP. SINDABAD HOTEL, HIGHWAY",Kaalol   ,9726117288   ,KALOL,NO TIN,9726117288
AMAR AUTO AGENCY - RAJKOT,"NEAR RAILWAY OVERBRIDGE,"," RING ROAD BY PASS,","N. H. NO. 8/B, KOTHARIA",Rajkot   360 002,   ,rajkot,,
Amar Auto Centre - Rajkot,"RING ROAD BYPASS NB.H. 8-B,","OPP, KAMNATH WEIGH BRIDGE,","NEAR RAILWAY OVER BRIDGE, KOTHARIYA, RAJKOT",Rajkot  ,      ,,24091802732, 
Amar Automobiles - Kothariya,"OPP. RAJKAMAL PETROL PUMP,","GONDAL ROAD,","POST VAVADI, KOTHARIYA",Rajkot 360 004,2365423      ,rajkot, 24091801611 ,9426216247
AMAR TRACTOR PARTS -  PATAN,"SHOP NO.1,SARDAR COMPLEX,","SIDDHAPUR CHAR RASTA,", ,Patan   384  265 ,30742      ,PATAN, , 
AMARCHAND T. SOLANKI - VALSAD,"4-5, A.P.M.C.","(MANGO MARKET),","BECHAR ROAD,",Valsad    ,44631/45078      ,VALSAD, , 
AMARNATH KABADI & MOTOR AUTO GARAGE - KADI,"5, SHIVLALA SHOPPING CENTRE,","NEAR ESSAR PETROL PUMP,","CHHATRAL ROAD,",KADI 382 715,9879831255 9909867667  ,KADI,NO TIN,"9879831255, 9909867667"
AMBICA  AUTO PARTS - KARJAN," G-10, GANESH COMPLEX,","OPP. PETROL PUMP,"," NATIONAL HIGWAY NO.8,",Karjan   391 241 ,0266-232670 R231576     ,KARJAN,24192500274, 
AMBICA AUTO AGENCY - SARKHEJ,,SANATHAN,SARKHEJ,Ahmedabad  382 210,   ,SARKHEJ,,
AMBICA AUTO CENTRE -  HIMATNAGAR,"MEHTAPURA CHAR RASTA,", , ,Himatnagar   383 001 ,02772-222249      ,HIMMATNAGAR, , 98256 78900
AMBICA AUTO PARTS  - PIPLAG,"PIPLAG CHOKDI,","N. H. NO.8,",PIPLAG,Nadiad 387 355,9879758137   ,NADIAD,24160901581,9879758137
AMBICA AUTO PARTS -  ANKLESHWAR,OPP. F.M. AMIN PETROL PUMP,"RAJPIPLA CHOKADI,", ,Ankleshwar 393 001,9427876957 232943    ,Ankleshwar, ,9427876957
AMBICA AUTO PARTS - CHILODA,"MANGALKRUTI COMPLEX,","OPP. SANJAYNAGAR,",NANA CHILODA,Ahmedabad  ,9662502337 98243 84258  ,NARODA,NO TIN,9662502337/9824384258
AMBICA AUTO PARTS - DEHGAM,"15 ANURADHA SOCIETY,","1- SHOPPING CENTRE,","NR. G.E.B. A`BAD ROAD, DEHGAM",Dehgam   ,9879477141 9409636441  ,DEHGAM,24060401446,"9879477141,9409636441"
AMBICA AUTO PARTS - KADI,"6 - BHAGYALAXMI COMPLEX,","OPP, PROFESSOR SOCIETY,","THOD ROAD, KADI",KADI ,9879026611   ,KADI,,9879026611
AMBICA AUTOMOBILES -  BALASINOR,"VIRPUR ROAD,","OPP. VISHWAS SERVICE STATION,", ,Nadiad 388 255 ,(02690)P.P.6270 8 R:63206    ,BALASINOR, , 
AMBICA AUTOMOBILES - IDAR,"AMBAJI HIGHWAY,","NEAR INDANE GAS AGENCY,",OPP. NEW POST OFFICE,Idar   383 430,257021   ,IDAR, ,9426592822
AMBICA AUTOMOBILES - MANSA,"VIHAR CROSS ROAD,",TALUKA - MANSA,MANSA,Mansa ,9408538590 9426359429  ,MANSA,24040600947,"9408538590, 9426359429"
Ambica Automobiles - Mirzapur,"Opp. St. Xavier's School Stree,","Opp. Babubhai Wheel Through Works,","Mirzapur,",Ahmedabad 380 001,25625928   ,MIRZAPUR,,9898111037
AMBICA AUTOMOBILES - NAROL,"3, R.R. ESTATE,","NEAR HOTEL LAKE VIEW,","NAROL CHAR RASTA, NAROL",Ahmedabad  382 405,25711481 65454719  ,NAROL,24075001511,9824041157
AMBICA AUTOMOBILES - ODHAV,"244/245, YAMUNA PARK,","OPP, ROYAL HOTEL, ODHAV VASTRAL RING ROAD,","ODHAV, AHMEDABAD",Ahmedabad 382415,9924069977 9377769977  ,NARODA,24075103186,"9924069977, 9377769977"
AMBICA AUTOMOBILES - SOLA,"PLOT.NO - 143,","NR. FUN POINT CLUB,","KARGIL PETROL PUMP GALI, S.G.HIGHWAY, SOLA",Ahmedabad  380061,9898558055   ,SOLA,24074205503,9898558055
AMBICA AUTOMOBILES - UNJHA,,"NATIONAL HIGHWAY NO. 8,",,Unjha   ,   ,UNJHA,,9824515795
AMBICA AUTOMOBILES. - PALANPUR ,"SHAKTI COMPLEX,","KARNAVATI SHOPPING CENTRE,","HIGHWAY ROAD,",Palanpur   385 002 ,53748 R-56491      ,PALANPUR, , 
AMBICA ELECTRIC STORES -  KADI,," OPP. G.E.B. SUB STATION,", ,KADI    382 715,242729  242701    ,KADI, 24040901076, 9924126553
AMBICA MARKETING -  AHMEDABAD,"2,TIRTHDEVBHOMMI COMPLEX,","NEAR SUBHASH BRIDGE CIRCLE,","KESHAVNAGAR,",Ahmedabad   ,       ,AHMEDABAD, , 
AMBICA MOTORS -  SEVALIA,"NEAR N.P.SHAH PETROL PUMP,","GODHRA ROAD,", ,Sevalia 388 245 ,93776 53727      ,SEVALIA, , 9377653727
AMBICA MOTORS - HIMATNAGAR,"B-2, AAVISHKAR COMPLEX,","MOTIPURA,",HIMATNAGAR,Ahmedabad  ,9925627725   ,HIMMATNAGAR,NO TIN,9925627725
AMBICA MOTORS - KALOL,"C-14/15, KARTIK COMPLEX,","OPP. S.T. WORKSHOP,",HIGHWAY - THREEWAY,Kalol 382 721,9408387411   ,KALOL,24060104959,9408387411
AMBICA MOTORS - NANA CHILODA," OPP. PANVATI ESTATE,"," MEMCO,", NARODA ROAD,Ahmedabad 382 345,9427712522   ,NARODA,24072703912,9427712522
AMBICA NUT-BOLT CENTRE - PALANAPUR ,"CHOICE GALI,","AHMEDABAD HIGHWAY,",,Palanpur   385 001,02742-252275   ,PALANPUR, ,
AMBICA TRACTOR & JEEP PARTS - MEHSANA,"7, RAJENDRA ESTATE,","OPP. KHODIYAR RESTAURANT,","HIGHWAY,",Mehsana   384 002,02762-247433 R-220665  ,Mehsana, ,9925465744
AMBICA TRACTOR CORPORATION - MEHSANA,"SHILPA COMPOUND,","HIGHWAY,", ,Mehsana    ,(02762)O-45143. P.P.52592    ,Mehsana, , 
AMBICA TRACTOR PARTS -  PATAN,"OPP.METER HOUSE,","NEAR NEW GUNJ BAZAR,","O/S RAILWAY NALA,",Patan   384 265 ,(02766)O-24789. R-22320    ,PATAN, , 
AMBICA TRACTORS - SARKHEJ,"259/1, YAN ESTATE, OPP. BHAVANI MOTORS,","BAVLA GANDHINAGAR HIGHWAY,","SARKHEJ,",Ahmedabad 382 210,30923017 26899302 R-26630120 ,SARKHEJ, ,"9825068966, 9427704282"
AMBICA TRADERS - AHMEDABAD,"SHANTISADAN ESTATE,","MIRZAPUR ROAD,", ,Ahmedabad  ,       ,AHMEDABAD, , 
AMBIKA AUTO  PARTS -  SATHAMBA,"NR. COMPANY PETROL PUMP,", , ,Mehsana    ,O:(02779)84401 R:84601    ,SATHAMBA, , 
Ambika Automobiles - Rajkot,"""SAMRUDDHI BHAVAN"",","1st FLOOR-40, OPP. BOMBAY PETROL PUMP,","GONDAL ROAD,",Rajkot  ,0281-6641277      ,,24090704090,9428036277/9428375919
AMBIKA AUTOMOBILES. -NARANPUR,"KRISHNA NAGAR,","Nr.BHOOMI PARTY PLOT,","BHAGIRATH SOCIETY ROAD, NARANPURA,",Ahmedabad   380 013,27456594      ,NARANPURA, , 
AMBIKA GENERAL STORES -  KARJAN,"JUNA BAZAR,", ,MIYAGAM-KARJAN,Karjan   391 240 ,02666-232147      ,KARJAN, , 
AMBIKA TRACTOR PARTS - CHHANI,"4,VUDA SHOPPING CENTRE,", , ,Chhani   391 740 ,0265-2776212      ,CHHANI, , 98254 39883
Ambuja Engineers Pvt. Ltd. -  , , , ,   ,       ,Base Area, , 
AMEE AUTOMOBILES - DEESA,"NR. R.T.O. CHECK POST,",DHANERA ROAD,ANKHOL,Deesa   385 535,   ,DEESA,,9428024286
AMEE ENTERPRISE - C.T.M.,"1, NATHALAL ESTATE,","OPP. JALARAM PARTY PLOTE,","C.T.M. HIGHWAY, JASHODANAGAR",Ahmedabad 380 026,25850730 22772898  ,NAROL,,9898722134
AMEE MOTORS - MODASA,"MEGHRAJ ROAD,","NR. BY-PASS CHOKDI,",,Modasa   383 315,02774-246828   ,MODASA,,9825522323
AMEE MOTORS - VAPI,"21, NATRAJ COMPLEX,","BELOW 21STCENTURY HOSPITAL,",G/I.D.C. VAPI,Vapi   396195,3115157 9879589498    ,VAPI, 24250702056, 9879589498
AMI MOTORS -  MODASA,"MODASA-MEGHARAJ ROAD,","BY PASS CHOKADI,", ,Modasa   383 315 ,"02774-244104, 246828    ",MODASA, , 9825522323
AMI MOTORS. - SARKHEJ ,"1,FAN ESTATE, OPP. BHAVANI MOTORS,","NR. SUKHSAGAR HOTEL,","BAVLA-GANDHINAGAR HIGHWAY, SARKHEJ,",Ahmedabad 382 210 ,26891128 30925568     ,SARKHEJ, ," 9825717364,9898020893"
AMI PRIYA INC - SANATHAL,"B/H -  G.B. ESTATE,",SANATHAL,,Ahmedabad  ,9924921414   ,SARKHEJ,24072905232,9924921414
AMIN  AUTOMOBILES -  HALOL,"BARODA ROAD,","JALARAM COMPLEX,", ,Halol   389 350 ,(02676)O-24195      ,HALOL, , 
AMIN & SONS - ANAND,"DHARA SUPER STORE BUILDING,","OPP. NAVARAMJI MANDIR,NEAR GAMDIVAD,","STATION ROAD,",Anand   388 001 ,02692-243284   ,Anand, ,
AMIN AUTOMOBILES - CHHOTA UDEPUR,"VASEDI,","BARODA ROAD,",CHHOTA UDEPUR,Chhota Udepur   391 165 ,(02669)O-232829  R:233029    ,CHHOTA UDEPUR, , 94263 17156
AMIN AUTOMOBILES. -  DAHEGAM,"6, SHUKAN DARSHAN SHOPP. CENTRE,",OPP. G.E.B., ,Dehgam   382 305 ,"916-33288,32847      ",DEHGAM, , 
AMIN BROTHERS -  NADIAD,"OPP : RAILWAY STATION,","SARDAR PATEL MARKET,", ,Nadiad   387 001 ,0268-2567206 (R ) 2555299    ,NADIAD, , 
